DB00001,DB01381;DB00374
DB00002,
DB00003,
DB00004,DB06372;DB00072
DB00005,DB06372;DB08895;DB00072
DB00006,DB01609;DB00441;DB01381;DB06228;DB00374
DB00007,
DB00008,DB01223;DB00651;DB06414;DB01303;DB01265;DB00277
DB00009,DB01381;DB00727;DB00208
DB00010,
DB00011,DB01223;DB00651;DB01303;DB00277
DB00012,
DB00013,DB06692;DB00055;DB01381;DB01404
DB00014,
DB00015,DB01381;DB00208
DB00016,
DB00017,
DB00018,
DB00019,
DB00020,
DB00021,DB00771;DB01409;DB01036;DB00376;DB00662;DB00209
DB00022,DB01223;DB00651;DB01303;DB00277
DB00023,DB00072
DB00024,
DB00025,
DB00026,DB06168;DB08904;DB06674;DB06372;DB01041;DB08895;DB00072
DB00027,
DB00028,
DB00029,
DB00030,DB06655
DB00031,DB06692;DB00055;DB01381;DB01404;DB00208
DB00032,
DB00033,
DB00034,DB01223;DB00651;DB01303;DB00277
DB00035,DB01551
DB00036,
DB00038,DB01551
DB00039,DB06769;DB06813
DB00040,
DB00041,DB01013;DB00838;DB01285
DB00042,
DB00043,
DB00044,
DB00045,
DB00046,DB01193;DB00335;DB00612;DB01136;DB00647;DB00280;DB00584;DB00668;DB00187;DB01039;DB00472;DB00999;DB00678;DB00104;DB00806;DB01278;DB00635;DB00178
DB00047,DB01193;DB00335;DB00195;DB01295;DB00612;DB00521;DB01136;DB00187;DB00598;DB00264;DB01203;DB01580;DB01359;DB00960;DB01297;DB00571;DB00052;DB00489;DB00373
DB00048,
DB00049,
DB00050,
DB00051,DB06168;DB06372;DB08895;DB00072
DB00052,DB00284;DB00672;DB01276;DB01120;DB00222;DB01067;DB01016;DB01306;DB01307;DB00047;DB01309;DB06655;DB00331;DB00491;DB00731;DB01132;DB00412;DB06335;DB01261;DB00839;DB01124
DB00053,
DB00054,DB01381;DB00775;DB00072;DB00374
DB00055,DB00758;DB06779;DB01225;DB00569;DB01109;DB01009;DB08813;DB00031;DB06822;DB00500;DB00374;DB00013;DB06684;DB00682
DB00056,
DB00057,
DB00058,
DB00059,DB00072
DB00060,
DB00061,
DB00062,
DB00063,DB01381;DB00775;DB00374
DB00064,
DB00065,DB06674;DB06372;DB08895;DB00072
DB00066,
DB00067,
DB00068,DB00495
DB00069,
DB00070,
DB00071,
DB00072,DB01281;DB00054;DB00051;DB00087;DB00488;DB00276;DB00026;DB00023;DB00928;DB00993;DB00074;DB00443;DB00290;DB01008;DB01101;DB00958;DB00262;DB00291;DB00515;DB00242;DB00631;DB01285;DB01380;DB00531;DB00091;DB00987;DB00851;DB00111;DB00970;DB00694;DB00004;DB01234;DB01248;DB00997;DB00095;DB00445;DB00530;DB01196;DB00005;DB00773;DB00322;DB01073;DB00687;DB00544;DB00317;DB00441;DB00741;DB01005;DB00078;DB01177;DB01181;DB00619;DB00065;DB00762;DB00480;DB01206;DB00888;DB01042;DB01033;DB00563;DB00959;DB00305;DB01204;DB00075;DB00688;DB01024;DB00108;DB01280;DB04868;DB00526;DB01229;DB00059;DB00552;DB00860;DB00635;DB01168;DB06372;DB00073;DB00877;DB00398;DB00428;DB01268;DB00864;DB00853;DB06287;DB00444;DB01041;DB04572;DB00352;DB08895;DB01030;DB00081;DB00755;DB00620;DB00385;DB00570;DB00541;DB00361
DB00073,DB08822;DB00195;DB08904;DB00880;DB00966;DB01162;DB08895;DB00839;DB00214;DB00519;DB00072;DB01021;DB00177;DB00661
DB00074,DB06168;DB06372;DB00072
DB00075,DB00091;DB06372;DB00072
DB00076,DB08810
DB00078,DB00072
DB00080,
DB00081,DB00108;DB00072
DB00082,DB01551
DB00083,
DB00085,DB01592
DB00086,DB00208
DB00087,DB00072
DB00088,
DB00089,
DB00090,
DB00091,DB00819;DB00437;DB01118;DB01351;DB00681;DB00701;DB01352;DB01072;DB01076;DB00207;DB01393;DB00559;DB01156;DB00237;DB00241;DB01353;DB00564;DB01136;DB00520;DB00439;DB00446;DB00608;DB01597;DB00537;DB01211;DB01190;DB01394;DB01406;DB00586;DB00390;DB01341;DB00343;DB04855;DB00625;DB00199;DB00977;DB00754;DB00749;DB00773;DB00973;DB00573;DB08874;DB00196;DB00472;DB00712;DB01095;DB01319;DB00529;DB01320;DB00222;DB01067;DB01016;DB00400;DB01354;DB01355;DB01050;DB00619;DB01598;DB00224;DB00328;DB01167;DB01321;DB01026;DB01009;DB00227;DB00939;DB00784;DB01042;DB00532;DB01357;DB00474;DB00563;DB00422;DB00849;DB01233;DB00745;DB00075;DB00461;DB00607;DB00788;DB01149;DB00220;DB00622;DB01115;DB01059;DB00104;DB00338;DB01083;DB00991;DB00776;DB00312;DB01174;DB00252;DB00554;DB08860;DB01263;DB00175;DB00794;DB01599;DB01182;DB00339;DB01346;DB01369;DB00912;DB00615;DB01045;DB06372;DB00503;DB01098;DB00778;DB01232;DB00418;DB00658;DB01105;DB00641;DB00877;DB01323;DB00359;DB01582;DB01015;DB00795;DB01138;DB00605;DB00864;DB00306;DB00706;DB05521;DB00976;DB00469;DB00857;DB00894;DB00624;DB01420;DB00599;DB01600;DB00208;DB00932;DB00684;DB08895;DB00500;DB01036;DB01030;DB00193;DB00519;DB05275;DB00072;DB00656;DB00197;DB01361;DB01586;DB00661;DB00582
DB00092,DB06168;DB06372
DB00093,
DB00094,
DB00095,DB01253;DB06372;DB00072
DB00096,
DB00097,
DB00098,DB06168;DB06372
DB00099,DB01030
DB00100,
DB00102,
DB00103,
DB00104,DB06697;DB00091;DB01551;DB00046;DB06708;DB01369;DB00864;DB01623;DB00539;DB00726;DB00582;DB02546;DB00246;DB01624;DB08919;DB08920
DB00105,DB01223;DB00651;DB01303;DB00277
DB00106,DB00864;DB01623;DB00539;DB00726;DB00582;DB02546;DB00246;DB01624;DB08919;DB08920
DB00107,DB00668;DB00388
DB00108,DB05773;DB00290;DB08870;DB06168;DB00958;DB00262;DB08904;DB00291;DB00515;DB00242;DB00631;DB06674;DB04865;DB01229;DB00864;DB00853;DB06287;DB00444;DB08880;DB01041;DB04572;DB00352;DB08895;DB01030;DB00081;DB00072;DB00755;DB00385;DB00570;DB00541;DB00361
DB00109,
DB00110,
DB00111,DB06372;DB00072
DB00112,DB01268
DB00113,
DB00115,
DB00116,
DB00117,
DB00118,DB06700;DB01381;DB01009;DB00605;DB00193;DB00752;DB00656;DB00726;DB00285;DB00682;DB00315
DB00119,
DB00120,
DB00121,
DB00122,
DB00123,
DB00125,
DB00126,DB00746;DB00224
DB00127,
DB00128,
DB00129,
DB00130,
DB00131,
DB00132,
DB00133,
DB00134,
DB00135,
