DB00001,Lepirudin,BE0000048
DB00002,Cetuximab,BE0000767;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00003,Dornase alfa,BE0004796
DB00004,Denileukin diftitox,BE0000658;BE0000651;BE0002102
DB00005,Etanercept,BE0000704;BE0000949;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0001087;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00006,Bivalirudin,BE0000048
DB00007,Leuprolide,BE0000203
DB00008,Peginterferon alfa-2a,BE0000385;BE0000661
DB00009,Alteplase,BE0000211;BE0000538;BE0000717;BE0000240
DB00010,Sermorelin,BE0000625
DB00011,Interferon alfa-n1,BE0000385;BE0000661
DB00012,Darbepoetin alfa,BE0000654
DB00013,Urokinase,BE0000211;BE0000717;BE0000895;BE0001088;BE0000240;BE0000969;BE0002112;BE0000942;BE0001656;BE0002113
DB00014,Goserelin,BE0000134;BE0000203
DB00015,Reteplase,BE0000211;BE0000538;BE0000717;BE0000240
DB00016,Erythropoietin,BE0000654
DB00017,Salmon Calcitonin,BE0000431
DB00018,Interferon alfa-n3,BE0000661;BE0000385
DB00019,Pegfilgrastim,BE0000793;BE0000394
DB00020,Sargramostim,BE0000628;BE0001036;BE0002115;BE0002116;BE0002114
DB00021,Secretin,BE0000318
DB00022,Peginterferon alfa-2b,BE0000661;BE0000385
DB00023,Asparaginase,BE0004798
DB00024,Thyrotropin Alfa,BE0000490
DB00025,"Antihemophilic factor, human recombinant",BE0000216;BE0000364;BE0001043;BE0002117;BE0002118;BE0001098;BE0002109;BE0001011;BE0002119;BE0002110;BE0002120
DB00026,Anakinra,BE0000565
DB00027,Gramicidin D,
DB00028,Immune Globulin Human,BE0000710;BE0004684;BE0002098;BE0002099;BE0002100;BE0002097;BE0000901;BE0003455;BE0004685;BE0004686;BE0000855
DB00029,Anistreplase,BE0000211;BE0000538;BE0000717;BE0000240
DB00030,Insulin Human,BE0000033;BE0000858;BE0002123;BE0000941;BE0001183;BE0002124;BE0001123;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00031,Tenecteplase,BE0000211;BE0000538;BE0000717;BE0000240;BE0000969;BE0002104;BE0002105;BE0001170;BE0002109;BE0001011;BE0002110
DB00032,Menotropins,BE0000387;BE0000134
DB00033,Interferon gamma-1b,BE0000711;BE0000467
DB00034,"Interferon Alfa-2a, Recombinant",BE0000661;BE0000385
DB00035,Desmopressin,BE0000293;BE0000165;BE0000773
DB00036,Coagulation factor VIIa Recombinant Human,BE0000216;BE0002128;BE0000967;BE0000403;BE0000333;BE0001178
DB00038,Oprelvekin,BE0000416
DB00039,Palifermin,BE0000748;BE0002129;BE0002131;BE0001203;BE0002133;BE0001031
DB00040,Glucagon recombinant,BE0000527;BE0002134;BE0000857
DB00041,Aldesleukin,BE0000651;BE0000658;BE0002102
DB00042,Botulinum Toxin Type B,BE0002137;BE0002136;BE0002138
DB00043,Omalizumab,BE0000015;BE0002139
DB00044,Lutropin alfa,BE0000134
DB00045,OspA lipoprotein,BE0001164
DB00046,Insulin Lispro,BE0000033;BE0000858
DB00047,Insulin Glargine,BE0000033;BE0000858
DB00048,Collagenase clostridium histolyticum,BE0000025;BE0002140;BE0002130;BE0002141
DB00049,Rasburicase,BE0004823
DB00050,Cetrorelix,BE0000203;BE0000134
