Source,Target,Type,id,label,timeset,weight,sourcename,targetname,edgebetweenness
4,33,Undirected,18,Interleukin-2 receptor subunit beta***,,1.0,Denileukin diftitox,Aldesleukin,6.714113065664026E-6
11,15,Undirected,37,Erythropoietin receptor***,,1.0,Darbepoetin alfa,Erythropoietin,6.714113065664026E-6
16,917,Undirected,48,Calcitonin receptor***,,1.0,Salmon calcitonin,Pramlintide,6.714113065664026E-6
20,47,Undirected,54,L-asparagine***,,1.0,Asparaginase Escherichia coli,Pegaspargase,6.714113065664026E-6
28,1043,Undirected,64,Vasopressin V2 receptor***,,1.0,Desmopressin,Terlipressin,6.714113065664026E-6
42,69,Undirected,82,Glucocerebroside***,,1.0,Imiglucerase,Alglucerase,6.714113065664026E-6
43,548,Undirected,83,Integrin alpha-IIb***Integrin beta-3***,,2.0,Abciximab,Tirofiban,6.714113065664026E-6
46,77,Undirected,84,Neutrophil elastase***,,1.0,Alpha-1-proteinase inhibitor,Filgrastim,6.714113065664026E-6
106,1313,Undirected,217,Gastrin/cholecystokinin type B receptor***,,1.0,Pentagastrin,Cholecystokinin,6.714113065664026E-6
110,1334,Undirected,246,Proteasome subunit beta type-1***Proteasome subunit beta type-5***,,2.0,Bortezomib,Carfilzomib,6.714113065664026E-6
115,391,Undirected,345,Sialidase-2***,,1.0,Oseltamivir,Zanamivir,6.714113065664026E-6
181,346,Undirected,1798,Lysosomal alpha-glucosidase***Maltase-glucoamylase intestinal***,,2.0,Acarbose,Miglitol,6.714113065664026E-6
183,1304,Undirected,1842,Prostaglandin F2-alpha receptor***,,1.0,Travoprost,Tafluprost,6.714113065664026E-6
267,421,Undirected,3832,Amiloride-sensitive sodium channel subunit alpha***Amiloride-sensitive sodium channel subunit delta***Amiloride-sensitive sodium channel subunit gamma***Amiloride-sensitive sodium channel subunit beta***,,4.0,Triamterene,Amiloride,6.714113065664026E-6
270,385,Undirected,3900,Thyroid peroxidase***,,1.0,Carbimazole,Propylthiouracil,6.714113065664026E-6
294,1394,Undirected,4401,Ceramide glucosyltransferase***,,1.0,Miglustat,Eliglustat,6.714113065664026E-6
309,1086,Undirected,4892,Xanthine dehydrogenase/oxidase***,,1.0,Allopurinol,Febuxostat,6.714113065664026E-6
364,456,Undirected,6111,Tubulin beta-4B chain***Tubulin alpha-1A chain***,,2.0,Albendazole,Mebendazole,6.714113065664026E-6
433,669,Undirected,7447,Catalase-peroxidase***,,1.0,Ethionamide,Isoniazid,6.714113065664026E-6
477,1509,Undirected,8087,Neurokinin 1 receptor***,,1.0,Aprepitant,Rolapitant,6.714113065664026E-6
572,723,Undirected,9843,Inosine-5'-monophosphate dehydrogenase 1***,,1.0,Ribavirin,Mycophenolic acid,6.714113065664026E-6
576,1663,Undirected,9905,DNA topoisomerase 4 subunit A***,,1.0,Rosoxacin,Delafloxacin,6.714113065664026E-6
647,939,Undirected,10738,Penicillin-binding protein 2***,,1.0,Ceforanide,Cefamandole,6.714113065664026E-6
836,852,Undirected,12515,Translocator protein***,,1.0,Chlormezanone,Zopiclone,6.714113065664026E-6
920,1224,Undirected,13148,T-lymphocyte activation antigen CD86***T-lymphocyte activation antigen CD80***,,2.0,Abatacept,Belatacept,6.714113065664026E-6
1109,1210,Undirected,13954,Histone deacetylase***,,1.0,Belinostat,Panobinostat,6.714113065664026E-6
1133,1827,Undirected,13999,Interleukin-23***,,1.0,Ustekinumab,Tildrakizumab,6.714113065664026E-6
1188,1820,Undirected,14180,NS3 protease***,,1.0,Simeprevir,Glecaprevir,6.714113065664026E-6
1209,1213,Undirected,14216,Interleukin-5***,,1.0,Reslizumab,Mepolizumab,6.714113065664026E-6
1277,1433,Undirected,14349,Somatostatin receptor type 2***Somatostatin receptor type 5***,,2.0,Lanreotide,Somatostatin,6.714113065664026E-6
1310,1462,Undirected,14404,Smoothened homolog***,,1.0,Vismodegib,Sonidegib,6.714113065664026E-6
1402,1672,Undirected,14515,Phosphatidylinositol 45-bisphosphate 3-kinase catalytic subunit delta isoform***,,1.0,Idelalisib,Fostamatinib,0.014865046327380152
1402,1698,Undirected,14516,Phosphatidylinositol 45-bisphosphate 3-kinase catalytic subunit delta isoform***,,1.0,Idelalisib,Copanlisib,6.714113065664026E-6
1437,1704,Undirected,14563,Sphingosine 1-phosphate receptor 1***,,1.0,Asfotase alfa,Ozanimod,6.714113065664026E-6
1638,1664,Undirected,14655,Programmed cell death 1 ligand 1***,,1.0,Durvalumab,Avelumab,6.714113065664026E-6
1284,1706,Undirected,14360,C-X-C chemokine receptor type 4***,,1.0,Plerixafor,Ibalizumab,1.3428226131328051E-5
1212,1648,Undirected,14219,Low affinity immunoglobulin gamma Fc region receptor III-B***High affinity immunoglobulin gamma Fc receptor I***Low affinity immunoglobulin gamma Fc region receptor III-A***Low affinity immunoglobulin gamma Fc region receptor II-a***,,4.0,Catumaxomab,Sarilumab,2.0142339196992076E-5
1075,1706,Undirected,13764,C-C chemokine receptor type 5***,,1.0,Maraviroc,Ibalizumab,1.3428226131328051E-5
17,1723,Undirected,49,Granulocyte colony-stimulating factor receptor***,,1.0,Pegfilgrastim,Lenograstim,6.714113065664026E-6
17,1740,Undirected,50,Granulocyte colony-stimulating factor receptor***,,1.0,Pegfilgrastim,Lipegfilgrastim,6.714113065664026E-6
1723,1740,Undirected,14680,Granulocyte colony-stimulating factor receptor***,,1.0,Lenograstim,Lipegfilgrastim,6.714113065664026E-6
52,73,Undirected,92,Follicle-stimulating hormone receptor***,,1.0,Follitropin,Urofollitropin,6.714113065664026E-6
52,1409,Undirected,93,Follicle-stimulating hormone receptor***,,1.0,Follitropin,Corifollitropin alfa,6.714113065664026E-6
73,1409,Undirected,95,Follicle-stimulating hormone receptor***,,1.0,Urofollitropin,Corifollitropin alfa,6.714113065664026E-6
122,426,Undirected,398,23S ribosomal RNA***,,1.0,Azithromycin,Linezolid,6.714113065664026E-6
122,687,Undirected,399,23S ribosomal RNA***,,1.0,Azithromycin,Telithromycin,6.714113065664026E-6
122,1849,Undirected,400,23S ribosomal RNA***,,1.0,Azithromycin,Tedizolid,6.714113065664026E-6
426,687,Undirected,7341,23S ribosomal RNA***,,1.0,Linezolid,Telithromycin,6.714113065664026E-6
426,1849,Undirected,7342,23S ribosomal RNA***,,1.0,Linezolid,Tedizolid,6.714113065664026E-6
687,1849,Undirected,11256,23S ribosomal RNA***,,1.0,Telithromycin,Tedizolid,6.714113065664026E-6
